metraj,Sale Sakht,otagh,location,price,floor
۸۷,۱۴۰۰,۲,لحظاتی پیش در تهران، مرزداران,۱۳٬۹۲۰٬۰۰۰٬۰۰۰ تومان,۷ از ۹
۹۸,۱۳۹۷,۲,دقایقی پیش در تهران، کوی فردوس,۱۰٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۵
۶۰,۱۳۹۶,۱,لحظاتی پیش در تهران، ابراهیم‌آباد، میدان باقری (خیابان قاسم باقری),۱٬۵۶۰٬۰۰۰٬۰۰۰ تومان,۱ از ۴
۸۷,۱۳۹۴,۲,دقایقی پیش در تهران، سازمان برنامه,۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳
۱۷۰,۱۳۷۵,۳,دقایقی پیش در تهران، فرمانیه,۳۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲
۶۱,۱۳۹۵,۲,دقایقی پیش در تهران، اندیشه (شهر زیبا),۲٬۶۵۰٬۰۰۰٬۰۰۰ تومان,مشاور املاک
۱۰۵,۱۴۰۱,۲,دقایقی پیش در تهران، هروی,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۷ از ۱۱
۹۰,۱۳۸۷,۲,لحظاتی پیش در تهران، پونک,۱۰٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۱ از ۴
۶۷,۱۳۸۳,۲,دقایقی پیش در تهران، جنت‌آباد جنوبی,۶٬۶۶۶٬۰۰۰٬۰۰۰ تومان,همکف از ۴
۹۱,۱۳۸۴,۲,لحظاتی پیش در تهران، شهرک نفت (منطقه ۵),۹٬۱۰۰٬۰۰۰٬۰۰۰ تومان,همکف
۸۸,۱۳۸۰,۲,لحظاتی پیش در تهران، سازمان برنامه,۹٬۵۹۰٬۰۰۰٬۰۰۰ تومان,۲ از ۳
۲۶۰,۱۳۹۵,۴,دقایقی پیش در تهران، قیطریه,۳۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲
۱۱۰,۱۳۸۹,۲,لحظاتی پیش در تهران، سعادت‌آباد,۱۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴ از ۵
۱۶۰,۱۳۹۵,۳,دقایقی پیش در تهران، شهرک راه‌آهن,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱
۸۵,۱۴۰۱,۲,دقایقی پیش در تهران، نیاوران، سه راه یاسر,۲۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۹
۱۰۲,۱۳۸۷,۲,دقایقی پیش در تهران، قیطریه,۱۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵
۱۲۸,۱۴۰۱,۲,دقایقی پیش در تهران، پاسداران,۱۵٬۳۶۰٬۰۰۰٬۰۰۰ تومان,۸ از ۱۲
۱۲۲,۱۳۹۰,۳,دقایقی پیش در تهران، سازمان برنامه,۱۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۸۰,۱۳۹۶,۲,دقایقی پیش در تهران، ایران، کوچه مسجد آشتیانی ها (خ. درخشان),۶٬۲۸۰٬۰۰۰٬۰۰۰ تومان,شخصی
۷۳,۱۴۰۱,۱,دقایقی پیش در تهران، دریاچه شهدای خلیج فارس,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵
۱۸۲,۱۳۸۵,۳,لحظاتی پیش در تهران، قیطریه,۱۸٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۴
۹۶,۱۳۹۲,۲,لحظاتی پیش در تهران، قلهک,۱۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲
۱۰۲,۱۴۰۲,۲,لحظاتی پیش در تهران، وردآورد,۹۱۸٬۰۰۰٬۰۰۰ تومان,۱۰ از ۱۵
۹۴,۱۳۹۶,۲,لحظاتی پیش در تهران، پونک,۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵
۱۱۲,۱۴۰۲,۲,دقایقی پیش در تهران، شهرک راه‌آهن,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳
۱۵۰,۱۴۰۱,۳,لحظاتی پیش در تهران، قبا,۲۴٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۲
۴۶,۱۳۹۹,۱,لحظاتی پیش در تهران، مخصوص,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,شخصی
۵۵۰,۱۳۹۹,+۴,دقایقی پیش در تهران، زعفرانیه,۱۶۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۱۱۸,۱۴۰۲,۲,لحظاتی پیش در تهران، شهرک راه‌آهن,۱٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۹ از ۱۲
۷۲,۱۳۹۵,۱,لحظاتی پیش در تهران، خانی‌آباد، خیابان مختاری شرقی (خ. وحدت اسلامی),۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان,مشاور املاک
۱۱۷,۱۴۰۲,۲,دقایقی پیش در تهران، پاسداران,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲
۵۴,۱۳۹۸,۱,دقایقی پیش در تهران، استاد معین,۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵
۲۵۰,۱۴۰۱,۳,لحظاتی پیش در تهران، ولنجک,۷۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶ از ۱۵
۱۲۰,۱۳۷۱,۲,دقایقی پیش در تهران، دهکده المپیک,۸٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲
۵۵,۱۴۰۲,۱,دقایقی پیش در تهران، باغ فیض,۷٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۲
۶۶,۱۳۹۴,۲,دقایقی پیش در تهران، چیتگر,۲٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۲
۹۵,۱۳۸۰,۲,دقایقی پیش در تهران، پلیس، خیابان کلیم کاشانی (خ. شیخ صفی),۵٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۴ از ۴
۱۰۰,۱۳۸۵,۲,دقایقی پیش در تهران، شهرک راه‌آهن,۸٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲
۵۸,۱۳۸۵,۲,دقایقی پیش در تهران، دولت‌آباد,۱٬۹۹۰٬۰۰۰٬۰۰۰ تومان,۴
۷۰,۱۳۹۳,۲,دقایقی پیش در تهران، ارم، خیابان بهار جنوبی (خ. طالقانی),۷٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۵
۴۵,۱۳۸۱,۱,دقایقی پیش در تهران، سلسبیل,۲٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴
۱۰۰,۱۴۰۱,۲,دقایقی پیش در تهران، چیتگر,۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۱۹
۱۲۰,۱۳۹۸,۲,دقایقی پیش در تهران، آبشار تهران,۸٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۱۰
۷۴,۱۴۰۲,۱,دقایقی پیش در تهران، پونک,۷٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۸
۲۸۰,۱۳۹۲,۳,دقایقی پیش در تهران، امامزاده قاسم,۴۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,همکف
۸۶,۱۳۹۹,۲,دقایقی پیش در تهران، استاد معین,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴
۱۱۵,۱۴۰۱,۲,دقایقی پیش در تهران، شهرک نفت (منطقه ۵),۱۴٬۹۰۰٬۰۰۰٬۰۰۰ تومان,مشاور املاک
۱۰۰,۱۴۰۱,۲,دقایقی پیش در تهران، چیتگر,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۲۰ از ۲۱
۱۶۴,۱۳۸۶,۳,دقایقی پیش در تهران، سعادت‌آباد,۲۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳
۱۱۴,۱۳۸۳,۲,دقایقی پیش در تهران، سعادت‌آباد,۱۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۱
۶۰,۱۴۰۱,۱,دقایقی پیش در تهران، گیشا (کوی نصر),۱۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴
۱۴۶,۱۳۹۰,۳,دقایقی پیش در تهران، شهران جنوبی,۱۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۵
۱۰۳,۱۴۰۱,۲,دقایقی پیش در تهران، حسین‌آباد,۱۲٬۸۹۰٬۰۰۰٬۰۰۰ تومان,۴
۱۳۲,۱۴۰۱,۳,دقایقی پیش در تهران، چیتگر,۱۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۶
۱۱۵,۱۳۹۶,۲,دقایقی پیش در تهران، سعادت‌آباد,۲۸٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۴
